name	command	mkfs	guest_kernel	note
m1_xxhash	CSUM=xxhash corpus/vm/make_image.sh m1_xxhash	btrfs-progs v6.6.3 (pinned)	7.0.0-31-generic	
m1_sha256_bgt	CSUM=sha256 MKFS_ARGS="-O block-group-tree" corpus/vm/make_image.sh m1_sha256_bgt	btrfs-progs v6.6.3 (pinned)	7.0.0-31-generic	
m1_blake2b	CSUM=blake2 corpus/vm/make_image.sh m1_blake2b	btrfs-progs v6.6.3 (pinned)	7.0.0-31-generic	
m1_lzo	CSUM=xxhash MOUNT_OPTS=compress-force=lzo,commit=5 corpus/vm/make_image.sh m1_lzo	btrfs-progs v6.6.3 (pinned)	7.0.0-31-generic	
m1_zlib	CSUM=xxhash MOUNT_OPTS=compress-force=zlib,commit=5 corpus/vm/make_image.sh m1_zlib	btrfs-progs v6.6.3 (pinned)	7.0.0-31-generic	
m1_unknown_incompat	uv run python corpus/mutate.py images/scenarios/m1_xxhash.img images/scenarios/m1_unknown_incompat.img set-incompat-bit 40	btrfs-progs v6.6.3 (via m1_xxhash) (pinned)	7.0.0-31-generic (via m1_xxhash)	
m1_mirror_damage	uv run python corpus/mutate.py images/scenarios/m1_xxhash.img images/scenarios/m1_mirror_damage.img zero-primary-sb	btrfs-progs v6.6.3 (via m1_xxhash) (pinned)	7.0.0-31-generic (via m1_xxhash)	
m1_foreign_mirror	uv run python corpus/mutate.py images/scenarios/m1_xxhash.img images/scenarios/m1_foreign_mirror.img transplant-sb images/scenarios/m1_sha256_bgt.img 1 1000	btrfs-progs v6.6.3 (via m1_xxhash, m1_sha256_bgt) (pinned)	7.0.0-31-generic (via m1_xxhash, m1_sha256_bgt)	
m1_badnode	uv run python corpus/mutate.py images/scenarios/m1_xxhash.img images/scenarios/m1_badnode.img flip-byte 107118591	btrfs-progs v6.6.3 (via m1_xxhash) (pinned)	7.0.0-31-generic (via m1_xxhash)	
m1_badnode_both	uv run python corpus/mutate.py images/scenarios/m1_xxhash.img images/scenarios/m1_badnode_both.img flip-byte 107118591 174227455	btrfs-progs v6.6.3 (via m1_xxhash) (pinned)	7.0.0-31-generic (via m1_xxhash)	
m2_logtree	CSUM=xxhash SCENARIO=logtree MOUNT_OPTS=commit=300 DONE_MARKER="=== LOGTREE-POWEROFF" corpus/vm/make_image.sh m2_logtree	btrfs-progs v6.6.3 (pinned)	7.0.0-31-generic	
s01_discard_none_r1	NAME=s01_discard_none_r1 corpus/vm/scenarios/discard_none.sh	btrfs-progs v6.6.3 (pinned)	7.0.0-31-generic	the run-1 image of its discard mode, as kept for EXP-000 and EXP-002
s01_discard_async_r1	NAME=s01_discard_async_r1 corpus/vm/scenarios/discard_async.sh	btrfs-progs v6.6.3 (pinned)	7.0.0-31-generic	the run-1 image of its discard mode, as kept for EXP-000 and EXP-002
s01_discard_sync_r1	NAME=s01_discard_sync_r1 corpus/vm/scenarios/discard_sync.sh	btrfs-progs v6.6.3 (pinned)	7.0.0-31-generic	the run-1 image of its discard mode, as kept for EXP-000 and EXP-002
m3_wide	CSUM=xxhash SCENARIO=wide corpus/vm/make_image.sh m3_wide	btrfs-progs v6.6.3 (pinned)	7.0.0-31-generic	trees with internal nodes: 48 subvolumes, 1500 files, deletions between commits, no balance
m4_planted_slack	uv run python corpus/mutate.py images/scenarios/m3_wide.img images/scenarios/m4_planted_slack.img plant-slack	btrfs-progs v6.6.3 (via m3_wide) (pinned)	7.0.0-31-generic (via m3_wide)	m3_wide with a message hidden in the slack of the fs tree's root node and first leaf, checksums recomputed (EXP-005; Toolan & Humphries 2026)
